Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,256672,41.92671580157859,49999,0.8781117830556864,13110,13582,49999,0,0,3111696,0.5299259986181069,24.310611212224245,tosa_transpose_default_3
Transpose,Transpose,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_transpose_default_3
Concat,MemoryCopy,NPU,202032,33.001411321938214,25572,0.44911047253545094,25572,10584,0,0,0,49392,0.008411523787588996,0.7544873298920695,tosa_concat_default_15
Table,LUT,NPU,174256,28.46427264648999,22786,0.40018110539624535,22786,4220,0,0,0,21609,0.0036800416570701862,0.3704474512858773,tosa_reshape_default_16
Mul,Mul,NPU,217488,35.52610945585699,32760,0.575350347265031,32760,2110,1159,0,0,0,0.0,0.0,tosa_rescale_default_118
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_rescale_default_120
Mul,Mul,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_reshape_default_15
Conv2D,Conv2D,NPU,155792,25.44822539334065,48683,0.8549994186783731,48683,1225,38017,0,0,7225344,1.2304857654987333,57.97506316373272,tosa_table_default_54
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_54
Conv2D,Conv2D,NPU,158928,25.960482985729968,12395,0.21768826478480036,12395,306,11264,0,0,1806336,0.30762144137468334,56.926179911254536,tosa_table_default_55
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_55
Conv2D,Conv2D,NPU,155856,25.458679629920024,390,0.006849408896012274,312,153,390,0,0,3136,0.000534065002386603,3.141025641025641,tosa_rescale_default_86
Concat,MemoryCopy,NPU,153760,25.116303381945535,154,0.002704638384579206,154,9,0,0,0,49,8.344765662290672e-06,0.12428977272727272,tosa_concat_default_14
Conv2D,Conv2D,NPU,166240,27.154879514923422,78257,1.3743953640390578,78257,7000,44931,0,0,14450688,2.4609715309974667,72.13156650523275,tosa_table_default_52
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_52
Conv2D,Conv2D,NPU,217408,35.51304166013277,39281,0.6898759765237388,39281,5006,3124,0,0,7225344,1.2304857654987333,71.85153127466205,tosa_table_default_53
Table,LUT,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,tosa_table_default_53
